state,pincode,year,quater,registered_user
andaman & nicobar islands,744102,2021,q1,6395
andaman & nicobar islands,744202,2021,q1,3005
andaman & nicobar islands,744107,2021,q1,2586
andaman & nicobar islands,744104,2021,q1,2383
andaman & nicobar islands,744112,2021,q1,1940
andaman & nicobar islands,744211,2021,q1,1774
andaman & nicobar islands,744205,2021,q1,1505
andaman & nicobar islands,744103,2021,q2,12268
andaman & nicobar islands,744105,2021,q2,10668
andaman & nicobar islands,744101,2021,q2,10120
andaman & nicobar islands,744102,2021,q2,6837
andaman & nicobar islands,744202,2021,q2,3261
andaman & nicobar islands,744107,2021,q2,2783
andaman & nicobar islands,744104,2021,q2,2573
andaman & nicobar islands,744112,2021,q2,2083
andaman & nicobar islands,744211,2021,q2,1904
andaman & nicobar islands,744205,2021,q2,1626
andaman & nicobar islands,744103,2021,q3,13198
andaman & nicobar islands,744105,2021,q3,11480
andaman & nicobar islands,744101,2021,q3,10866
andaman & nicobar islands,744102,2021,q3,7313
andaman & nicobar islands,744202,2021,q3,3543
andaman & nicobar islands,744107,2021,q3,3027
andaman & nicobar islands,744104,2021,q3,2777
andaman & nicobar islands,744112,2021,q3,2250
andaman & nicobar islands,744211,2021,q3,2055
andaman & nicobar islands,744205,2021,q3,1771
andaman & nicobar islands,744103,2021,q4,14127
andaman & nicobar islands,744105,2021,q4,12300
andaman & nicobar islands,744101,2021,q4,11623
andaman & nicobar islands,744102,2021,q4,7813
andaman & nicobar islands,744202,2021,q4,3815
andaman & nicobar islands,744107,2021,q4,3247
andaman & nicobar islands,744104,2021,q4,2962
andaman & nicobar islands,744112,2021,q4,2411
andaman & nicobar islands,744211,2021,q4,2200
andaman & nicobar islands,744205,2021,q4,1902
andaman & nicobar islands,744103,2022,q1,15011
andaman & nicobar islands,744105,2022,q1,13070
andaman & nicobar islands,744101,2022,q1,12300
andaman & nicobar islands,744102,2022,q1,8271
andaman & nicobar islands,744202,2022,q1,4107
andaman & nicobar islands,744107,2022,q1,3455
andaman & nicobar islands,744104,2022,q1,3146
andaman & nicobar islands,744112,2022,q1,2552
andaman & nicobar islands,744211,2022,q1,2344
andaman & nicobar islands,744205,2022,q1,2034
andaman & nicobar islands,744103,2022,q2,15799
andaman & nicobar islands,744105,2022,q2,13791
andaman & nicobar islands,744101,2022,q2,12947
andaman & nicobar islands,744102,2022,q2,8709
andaman & nicobar islands,744202,2022,q2,4361
andaman & nicobar islands,744107,2022,q2,3674
andaman & nicobar islands,744104,2022,q2,3319
andaman & nicobar islands,744112,2022,q2,2700
andaman & nicobar islands,744211,2022,q2,2471
