state,pincode,year,quater,transaction_count,transaction_amount
andaman & nicobar islands,744107,2020,q1,1043,2990354.4448547475
andaman & nicobar islands,744101,2020,q2,11868,48293323.21851964
andaman & nicobar islands,744103,2020,q2,10035,26197535.98945152
andaman & nicobar islands,744105,2020,q2,9341,23203019.858980607
andaman & nicobar islands,744102,2020,q2,6012,17786750.907515876
andaman & nicobar islands,744202,2020,q2,3722,8924121.010762567
andaman & nicobar islands,744107,2020,q2,2555,3980470.6853698147
andaman & nicobar islands,744301,2020,q2,2275,9055232.527755566
andaman & nicobar islands,744211,2020,q2,2045,3319717.6328789736
andaman & nicobar islands,744205,2020,q2,1847,4459064.90732021
andaman & nicobar islands,744104,2020,q2,1840,3334591.822304932
andaman & nicobar islands,744101,2020,q3,24386,100439119.66860783
andaman & nicobar islands,744103,2020,q3,21272,60332278.69396809
andaman & nicobar islands,744105,2020,q3,17166,44061506.56273589
andaman & nicobar islands,744102,2020,q3,13934,43077189.842844136
andaman & nicobar islands,744202,2020,q3,5779,11975748.707876923
andaman & nicobar islands,744107,2020,q3,4753,7628018.669464628
andaman & nicobar islands,744104,2020,q3,3468,7353834.51320935
andaman & nicobar islands,744112,2020,q3,3422,6067986.696111794
andaman & nicobar islands,744301,2020,q3,3071,13352610.531559702
andaman & nicobar islands,744205,2020,q3,2991,7535645.788593667
andaman & nicobar islands,744103,2020,q4,46884,138264791.5489212
andaman & nicobar islands,744101,2020,q4,40392,136401368.02166596
andaman & nicobar islands,744105,2020,q4,34410,87838226.93633425
andaman & nicobar islands,744102,2020,q4,26694,76348598.32238364
andaman & nicobar islands,744202,2020,q4,10949,25543799.074759968
andaman & nicobar islands,744107,2020,q4,9743,18083250.19055397
andaman & nicobar islands,744104,2020,q4,7654,19126095.533284884
andaman & nicobar islands,744112,2020,q4,7016,15890275.050448488
andaman & nicobar islands,744205,2020,q4,5118,12002695.281042248
andaman & nicobar islands,744201,2020,q4,5011,6777275.536669218
andaman & nicobar islands,744101,2021,q1,55726,190830957.0606181
andaman & nicobar islands,744103,2021,q1,47328,158404100.7854989
andaman & nicobar islands,744105,2021,q1,35467,111571687.43195169
andaman & nicobar islands,744102,2021,q1,23957,80750048.8238959
andaman & nicobar islands,744211,2021,q1,10648,34956327.94105429
andaman & nicobar islands,744202,2021,q1,10597,28127629.877961583
andaman & nicobar islands,744107,2021,q1,8848,19627951.469969153
andaman & nicobar islands,744104,2021,q1,8799,27854306.51949638
andaman & nicobar islands,744112,2021,q1,7113,21084790.0528014
andaman & nicobar islands,744301,2021,q1,5630,22671937.31314759
andaman & nicobar islands,744101,2021,q2,73334,227585492.7414593
andaman & nicobar islands,744103,2021,q2,66321,174752815.1688521
andaman & nicobar islands,744105,2021,q2,52645,134835744.22049245
andaman & nicobar islands,744102,2021,q2,34289,100890426.76234055
andaman & nicobar islands,744202,2021,q2,16476,40647907.96960775
andaman & nicobar islands,744107,2021,q2,14524,24690581.539094776
andaman & nicobar islands,744104,2021,q2,11278,28333852.06159348
andaman & nicobar islands,744211,2021,q2,10182,20377949.346094526
andaman & nicobar islands,744112,2021,q2,9635,21637658.167199604
andaman & nicobar islands,744301,2021,q2,8463,27666837.39688266
andaman & nicobar islands,744101,2021,q3,116324,388328168.7639693
andaman & nicobar islands,744103,2021,q3,84790,246433385.80990067
andaman & nicobar islands,744105,2021,q3,67257,185238368.4767078
andaman & nicobar islands,744102,2021,q3,43850,131239564.16909727
andaman & nicobar islands,744202,2021,q3,19088,48475163.574293144
andaman & nicobar islands,744107,2021,q3,16203,37962312.09641009
andaman & nicobar islands,744104,2021,q3,14657,35301326.114471875
andaman & nicobar islands,744112,2021,q3,11565,28491553.61094001
andaman & nicobar islands,744301,2021,q3,11553,43464511.051198
andaman & nicobar islands,744211,2021,q3,9655,19497765.257140517
andaman & nicobar islands,744101,2021,q4,165719,533026207.9731797
andaman & nicobar islands,744103,2021,q4,121613,372243734.27985656
andaman & nicobar islands,744105,2021,q4,95028,281223411.7435058
