state,year,quater,district,transaction_count,transaction_amount
andhra pradesh,2018,q4,anantapur,2286391,3975878156.329829
andhra pradesh,2018,q4,spsr nellore,1814997,3293448556.973445
andhra pradesh,2018,q4,ysr,1732527,3252340063.2478595
andhra pradesh,2018,q4,prakasam,1692862,3255254226.03728
andhra pradesh,2019,q1,visakhapatnam,9690866,13459857440.552685
andhra pradesh,2019,q1,chittoor,6486813,8223371732.233585
andhra pradesh,2019,q1,krishna,5443981,9061346433.072681
andhra pradesh,2019,q1,east godavari,5440146,7382264724.59952
andhra pradesh,2019,q1,guntur,4846553,7765934169.404485
andhra pradesh,2019,q1,kurnool,4193432,5541564892.509682
andhra pradesh,2019,q1,anantapur,3891336,6044730653.191345
andhra pradesh,2019,q1,spsr nellore,3333584,5161932216.216368
andhra pradesh,2019,q1,prakasam,2931081,4807527779.215151
andhra pradesh,2019,q1,ysr,2852197,4915811593.896078
andhra pradesh,2019,q2,visakhapatnam,11705738,20797479804.029076
andhra pradesh,2019,q2,krishna,6428472,13437029115.620754
andhra pradesh,2019,q2,chittoor,5983308,10982727976.224325
andhra pradesh,2019,q2,guntur,5005275,10405246943.481495
andhra pradesh,2019,q2,east godavari,4699261,9116404622.47651
andhra pradesh,2019,q2,kurnool,3895824,7358285187.018034
andhra pradesh,2019,q2,anantapur,3578836,7830782361.3776655
andhra pradesh,2019,q2,spsr nellore,3141891,6880873007.4820595
andhra pradesh,2019,q2,prakasam,2670529,6262396448.455348
andhra pradesh,2019,q2,ysr,2606284,6376856828.130632
andhra pradesh,2019,q3,visakhapatnam,16694947,26944837120.046288
andhra pradesh,2019,q3,krishna,8408474,16404073560.500784
andhra pradesh,2019,q3,chittoor,8201783,13837455758.755266
andhra pradesh,2019,q3,guntur,6942304,13075661264.188034
andhra pradesh,2019,q3,east godavari,6537303,11387726470.57774
andhra pradesh,2019,q3,kurnool,5139134,9025632779.412457
andhra pradesh,2019,q3,anantapur,4889720,9554081289.488277
andhra pradesh,2019,q3,spsr nellore,4150195,8256600118.735449
andhra pradesh,2019,q3,prakasam,3430750,7354502261.150911
andhra pradesh,2019,q3,ysr,3296586,7447544274.2117815
andhra pradesh,2019,q4,visakhapatnam,23594874,39133296330.04462
andhra pradesh,2019,q4,krishna,11719402,23039786404.046635
andhra pradesh,2019,q4,chittoor,11246986,19298476027.875484
andhra pradesh,2019,q4,guntur,9761330,18565626418.035915
andhra pradesh,2019,q4,east godavari,9285739,16816774065.301317
andhra pradesh,2019,q4,kurnool,7001958,13233105728.54823
andhra pradesh,2019,q4,anantapur,6764112,13887248889.064064
andhra pradesh,2019,q4,spsr nellore,5877804,11786014089.194025
andhra pradesh,2019,q4,prakasam,4865473,10604077824.801035
andhra pradesh,2019,q4,ysr,4793157,10865073855.730782
andhra pradesh,2020,q1,visakhapatnam,27115031,48809747614.678894
andhra pradesh,2020,q1,chittoor,13257740,23441848567.344193
andhra pradesh,2020,q1,krishna,12175289,24481702770.714714
andhra pradesh,2020,q1,guntur,11493331,22992734620.64621
andhra pradesh,2020,q1,east godavari,11346242,21854701379.428688
andhra pradesh,2020,q1,anantapur,8466129,17864325752.82528
andhra pradesh,2020,q1,kurnool,8246869,17022710311.813044
andhra pradesh,2020,q1,spsr nellore,7430247,15387829694.446861
andhra pradesh,2020,q1,prakasam,6318396,14169104764.526735
andhra pradesh,2020,q1,ysr,6031255,14059924636.819914
andhra pradesh,2020,q2,visakhapatnam,25300401,48293889917.41437
andhra pradesh,2020,q2,chittoor,14848197,27361300300.01902
andhra pradesh,2020,q2,east godavari,13130334,26319906327.32029
andhra pradesh,2020,q2,krishna,12313709,26964149095.36629
andhra pradesh,2020,q2,guntur,12308707,27463593607.83911
andhra pradesh,2020,q2,anantapur,10473739,22094006659.412506
andhra pradesh,2020,q2,kurnool,9821381,22419372061.805172
andhra pradesh,2020,q2,spsr nellore,9454274,20665376460.772232
andhra pradesh,2020,q2,prakasam,8844580,19846026726.90433
andhra pradesh,2020,q2,ysr,8033609,19597207268.132023
andhra pradesh,2020,q3,visakhapatnam,34421299,67628440368.111465
andhra pradesh,2020,q3,chittoor,20501863,42811566246.16463
andhra pradesh,2020,q3,krishna,19110457,44788458672.084435
andhra pradesh,2020,q3,east godavari,17972431,39300043804.75851
andhra pradesh,2020,q3,guntur,17601395,42531195809.75448
andhra pradesh,2020,q3,spsr nellore,16468209,39128324534.03021
andhra pradesh,2020,q3,anantapur,14447683,34102037972.657852
andhra pradesh,2020,q3,kurnool,13243292,32529351107.17173
andhra pradesh,2020,q3,prakasam,12266310,31221704852.44969
andhra pradesh,2020,q3,ysr,11934653,32037007334.12973
andhra pradesh,2020,q4,visakhapatnam,46551467,91879823025.40399
andhra pradesh,2020,q4,chittoor,29590411,61505711149.79541
andhra pradesh,2020,q4,krishna,27981050,64461504667.60722
andhra pradesh,2020,q4,guntur,26136538,60641872021.25432
andhra pradesh,2020,q4,east godavari,25989490,58732615663.11841
andhra pradesh,2020,q4,anantapur,20996384,49732610814.26222
andhra pradesh,2020,q4,spsr nellore,20934374,49115443663.37911
andhra pradesh,2020,q4,kurnool,18737323,44718203115.22612
andhra pradesh,2020,q4,prakasam,16176867,41852443493.515396
andhra pradesh,2020,q4,ysr,15676878,42572974713.440254
andhra pradesh,2021,q1,visakhapatnam,48248923,95308386037.84721
andhra pradesh,2021,q1,krishna,29717175,69715406644.53484
andhra pradesh,2021,q1,chittoor,29342609,60947491846.66088
andhra pradesh,2021,q1,guntur,27445045,64207987853.108406
andhra pradesh,2021,q1,east godavari,26190701,60027984987.96951
andhra pradesh,2021,q1,spsr nellore,22541428,52210333201.53073
andhra pradesh,2021,q1,anantapur,20102957,48353870395.01808
andhra pradesh,2021,q1,kurnool,17918524,44941629659.56964
andhra pradesh,2021,q1,west godavari,16015685,42124030669.36127
andhra pradesh,2021,q1,ysr,15374473,42570919448.50447
andhra pradesh,2021,q2,visakhapatnam,54390299,114439012713.35336
andhra pradesh,2021,q2,krishna,36370960,90021923049.96454
andhra pradesh,2021,q2,chittoor,34344902,73654690122.43158
andhra pradesh,2021,q2,guntur,32968819,82356914463.83287
andhra pradesh,2021,q2,east godavari,31717908,74604325863.66068
andhra pradesh,2021,q2,spsr nellore,30290406,72283071757.09679
andhra pradesh,2021,q2,anantapur,25123346,60987487571.27992
andhra pradesh,2021,q2,kurnool,21972396,56659287474.995804
andhra pradesh,2021,q2,west godavari,20950964,57233116236.18796
andhra pradesh,2021,q2,prakasam,19944047,54535328043.04135
andhra pradesh,2021,q3,visakhapatnam,69220981,136945652159.26517
andhra pradesh,2021,q3,krishna,44828275,104417897558.58972
andhra pradesh,2021,q3,chittoor,42628568,89371931753.04831
andhra pradesh,2021,q3,guntur,41675093,96525353090.12305
andhra pradesh,2021,q3,east godavari,39572714,89380370072.7078
andhra pradesh,2021,q3,spsr nellore,34411958,77839676988.30869
andhra pradesh,2021,q3,anantapur,30366444,70291248155.64975
andhra pradesh,2021,q3,kurnool,26377809,62527453761.59807
andhra pradesh,2021,q3,west godavari,26245039,66647238455.1675
andhra pradesh,2021,q3,prakasam,24116580,63367713446.928055
andhra pradesh,2021,q4,visakhapatnam,82711538,159530099772.73474
andhra pradesh,2021,q4,krishna,55489829,125015323207.89836
andhra pradesh,2021,q4,chittoor,51119640,103985734663.73514
andhra pradesh,2021,q4,guntur,50919286,115553993673.17336
andhra pradesh,2021,q4,east godavari,48992531,106725597026.00357
andhra pradesh,2021,q4,spsr nellore,41921081,92256405076.26547
andhra pradesh,2021,q4,anantapur,36129136,81239787006.64764
andhra pradesh,2021,q4,west godavari,33235175,81292461575.08183
andhra pradesh,2021,q4,kurnool,31782248,73968947669.64754
andhra pradesh,2021,q4,prakasam,27858275,71323060008.47623
andhra pradesh,2022,q1,visakhapatnam,88233362,170120350591.26004
andhra pradesh,2022,q1,krishna,61826199,139690081529.49048
andhra pradesh,2022,q1,chittoor,58561024,117900595508.63399
andhra pradesh,2022,q1,guntur,57226996,129673727687.08943
andhra pradesh,2022,q1,east godavari,54738830,121067103712.79568
andhra pradesh,2022,q1,spsr nellore,47645702,104895571602.13988
andhra pradesh,2022,q1,anantapur,40613148,90197023268.43825
andhra pradesh,2022,q1,west godavari,37271259,92397939903.60936
andhra pradesh,2022,q1,kurnool,35093633,81568420500.54747
andhra pradesh,2022,q1,prakasam,31340975,79494373254.71565
andhra pradesh,2022,q2,visakhapatnam,101387402,193242841582.14282
andhra pradesh,2022,q2,krishna,73525814,163997729295.93127
andhra pradesh,2022,q2,chittoor,67507661,136435445124.75615
andhra pradesh,2022,q2,guntur,66315749,147098141568.76227
andhra pradesh,2022,q2,east godavari,62072845,135531452997.6391
andhra pradesh,2022,q2,spsr nellore,54838708,121941082043.49483
andhra pradesh,2022,q2,anantapur,46099366,102138758015.76915
andhra pradesh,2022,q2,west godavari,44409239,107973244960.42824
andhra pradesh,2022,q2,kurnool,40165692,92409350855.502
andhra pradesh,2022,q2,prakasam,36163507,90435082545.97768
andhra pradesh,2022,q3,visakhapatnam,97434546,181124419863.61444
andhra pradesh,2022,q3,krishna,71051144,153770559025.69122
andhra pradesh,2022,q3,chittoor,65751781,133053581631.63948
andhra pradesh,2022,q3,guntur,65612317,141588522953.23773
andhra pradesh,2022,q3,east godavari,61467134,129677722169.74829
andhra pradesh,2022,q3,anantapur,45165363,97735649608.10074
andhra pradesh,2022,q3,west godavari,43635951,101706854744.31876
andhra pradesh,2022,q3,spsr nellore,42116582,95099325968.25974
andhra pradesh,2022,q3,kurnool,39557913,88415335176.31995
andhra pradesh,2022,q3,prakasam,35376080,87475230073.46387
andhra pradesh,2022,q4,visakhapatnam,103790055,185306149744.73105
andhra pradesh,2022,q4,krishna,76526667,157826011193.35443
andhra pradesh,2022,q4,guntur,70723763,146938735166.52365
andhra pradesh,2022,q4,chittoor,70322534,136840859888.18156
andhra pradesh,2022,q4,east godavari,68016055,136531110139.86255
andhra pradesh,2022,q4,anantapur,48299601,101533878537.23431
andhra pradesh,2022,q4,west godavari,47919930,105335724990.59326
andhra pradesh,2022,q4,kurnool,43524766,94667441029.08344
andhra pradesh,2022,q4,spsr nellore,42582064,92085916180.68509
andhra pradesh,2022,q4,prakasam,37211077,88105031866.36835
arunachal pradesh,2018,q1,papum pare,14224,32555848.462331478
arunachal pradesh,2018,q1,west kameng,5787,9540632.547015157
arunachal pradesh,2018,q1,lohit,3747,11496949.54576835
arunachal pradesh,2018,q1,east siang,3286,5533620.186295529
arunachal pradesh,2018,q1,changlang,3195,5380749.415278763
arunachal pradesh,2018,q1,tawang,2334,5055665.022950603
arunachal pradesh,2018,q1,longding,2321,4361531.578447229
arunachal pradesh,2018,q1,west siang,1887,4796675.565399804
arunachal pradesh,2018,q1,lower subansiri,1477,3650727.893614269
arunachal pradesh,2018,q1,namsai,1400,2162984.705083958
arunachal pradesh,2018,q2,papum pare,25363,66520931.20355793
arunachal pradesh,2018,q2,west kameng,10466,25521321.34140157
arunachal pradesh,2018,q2,lohit,6962,20520618.881890118
arunachal pradesh,2018,q2,east siang,6363,15285584.202916935
arunachal pradesh,2018,q2,changlang,6066,13294258.50337311
arunachal pradesh,2018,q2,tawang,5447,13722374.811357912
arunachal pradesh,2018,q2,longding,4634,10271170.165521314
arunachal pradesh,2018,q2,namsai,3230,6271811.327635023
arunachal pradesh,2018,q2,west siang,2579,7610989.567485569
arunachal pradesh,2018,q2,lower siang,2292,2179451.657976534
arunachal pradesh,2018,q3,papum pare,43282,101080479.2917223
arunachal pradesh,2018,q3,west kameng,17026,48528147.45054105
arunachal pradesh,2018,q3,lohit,11595,32702331.664437763
arunachal pradesh,2018,q3,east siang,10539,24885270.773230057
arunachal pradesh,2018,q3,changlang,10162,20494174.949715402
arunachal pradesh,2018,q3,tawang,8715,25733824.994109266
arunachal pradesh,2018,q3,longding,5288,18327334.050755527
arunachal pradesh,2018,q3,namsai,5076,10698272.774381302
arunachal pradesh,2018,q3,west siang,3337,12966152.792519316
arunachal pradesh,2018,q3,tirap,3322,7479257.007852319
arunachal pradesh,2018,q4,papum pare,55224,154875448.20778143
arunachal pradesh,2018,q4,west kameng,25439,89194886.84322134
arunachal pradesh,2018,q4,lohit,14268,40510521.949797615
arunachal pradesh,2018,q4,changlang,13950,32343047.413952358
arunachal pradesh,2018,q4,east siang,12893,34272134.344916776
arunachal pradesh,2018,q4,tawang,11104,35921510.89403269
arunachal pradesh,2018,q4,namsai,7244,17643523.29373534
arunachal pradesh,2018,q4,longding,6581,22545311.85089966
arunachal pradesh,2018,q4,tirap,5725,10811742.670586085
arunachal pradesh,2018,q4,lower dibang valley,4227,10951332.393937869
arunachal pradesh,2019,q1,papum pare,70941,188556716.3567257
arunachal pradesh,2019,q1,west kameng,34289,101333633.67604163
arunachal pradesh,2019,q1,changlang,17589,40239141.669717625
arunachal pradesh,2019,q1,lohit,15896,42834776.778045304
arunachal pradesh,2019,q1,east siang,15621,39284373.05409969
arunachal pradesh,2019,q1,tawang,13102,39489779.13784294
arunachal pradesh,2019,q1,namsai,8600,20065516.616355177
arunachal pradesh,2019,q1,longding,7287,25349462.055245366
arunachal pradesh,2019,q1,tirap,6877,14075747.836402504
arunachal pradesh,2019,q1,lower dibang valley,6314,13738776.18143886
arunachal pradesh,2019,q2,papum pare,86433,246640891.34861866
arunachal pradesh,2019,q2,west kameng,37430,122521180.75595039
arunachal pradesh,2019,q2,lohit,18693,48893746.831022196
arunachal pradesh,2019,q2,changlang,18631,48891048.26477764
arunachal pradesh,2019,q2,east siang,16494,46549881.23941852
arunachal pradesh,2019,q2,tawang,15960,55915834.5871187
arunachal pradesh,2019,q2,namsai,9637,22491356.65721929
arunachal pradesh,2019,q2,west siang,8041,24549832.977181494
arunachal pradesh,2019,q2,tirap,6868,18633793.43372325
arunachal pradesh,2019,q2,longding,6744,23464027.892812617
arunachal pradesh,2019,q3,papum pare,117940,301518075.7016427
arunachal pradesh,2019,q3,west kameng,53939,147186019.87590763
arunachal pradesh,2019,q3,changlang,29218,58354823.443366826
arunachal pradesh,2019,q3,lohit,24505,54539458.21434432
